name,pr,best_tp,best_tn,best_fp,best_fn
machine-1-1.txt,0.1515473032714412,857,0,4798,0
machine-1-2.txt,0.10451255853554704,491,0,4207,0
machine-1-3.txt,0.13595744680851063,639,0,4061,0
machine-1-4.txt,0.1325531914893617,623,1,4077,0
machine-1-5.txt,0.06382978723404255,300,1,4400,0
machine-1-6.txt,0.40153289333617204,1886,0,2811,0
machine-1-7.txt,0.20408597573951906,959,0,3740,0
machine-1-8.txt,0.194296658863588,913,0,3786,0
machine-2-1.txt,0.1600681140911026,752,0,3946,0
machine-2-2.txt,0.21068312406895084,990,0,3709,0
machine-2-3.txt,0.09346391313604428,439,0,4258,0
machine-2-4.txt,0.23632105599318715,1110,0,3587,0
machine-2-5.txt,0.20885671705343836,981,0,3716,0
machine-2-6.txt,0.06394533987386125,365,0,5343,0
